# Region type : patch outlet
# Faces  :    1008
# Area   :    1.407929e-05
# Time        	sum(phi)
0.001         	3.100038e-03
0.0010001     	3.099491e-03
0.00100019    	3.098954e-03
0.00100029    	3.098426e-03
0.00100038    	3.097909e-03
0.00100048    	3.097405e-03
0.00100057    	3.096914e-03
0.00100067    	3.096436e-03
0.00100076    	3.095969e-03
0.00100086    	3.095515e-03
0.00100095    	3.095071e-03
0.00100105    	3.094639e-03
0.00100115    	3.094218e-03
0.00100124    	3.093809e-03
0.00100134    	3.093412e-03
0.00100143    	3.093027e-03
0.00100153    	3.092652e-03
0.00100162    	3.092286e-03
0.00100172    	3.091931e-03
0.00100181    	3.091588e-03
0.00100191    	3.091256e-03
0.001002      	3.090933e-03
0.0010021     	3.090621e-03
0.00100219    	3.090321e-03
0.00100229    	3.090033e-03
0.00100238    	3.089753e-03
0.00100248    	3.089481e-03
0.00100257    	3.089218e-03
0.00100267    	3.088962e-03
0.00100277    	3.088713e-03
0.00100286    	3.088468e-03
0.00100296    	3.088227e-03
0.00100305    	3.087989e-03
0.00100315    	3.087754e-03
0.00100324    	3.087523e-03
0.00100334    	3.087295e-03
0.00100343    	3.087070e-03
0.00100353    	3.086848e-03
0.00100362    	3.086630e-03
0.00100372    	3.086415e-03
0.00100381    	3.086207e-03
0.00100391    	3.086003e-03
0.001004      	3.085803e-03
0.0010041     	3.085606e-03
0.00100419    	3.085410e-03
0.00100429    	3.085216e-03
0.00100438    	3.085021e-03
0.00100448    	3.084825e-03
0.00100457    	3.084631e-03
0.00100467    	3.084436e-03
0.00100476    	3.084241e-03
0.00100486    	3.084047e-03
0.00100495    	3.083853e-03
0.00100505    	3.083659e-03
0.00100514    	3.083462e-03
0.00100524    	3.083263e-03
0.00100533    	3.083064e-03
0.00100542    	3.082864e-03
0.00100552    	3.082664e-03
0.00100561    	3.082463e-03
0.00100571    	3.082261e-03
0.0010058     	3.082058e-03
0.0010059     	3.081858e-03
0.00100599    	3.081664e-03
0.00100608    	3.081473e-03
0.00100618    	3.081285e-03
0.00100627    	3.081095e-03
0.00100637    	3.080905e-03
0.00100646    	3.080716e-03
0.00100656    	3.080527e-03
0.00100665    	3.080340e-03
0.00100675    	3.080157e-03
0.00100684    	3.079974e-03
0.00100693    	3.079791e-03
0.00100703    	3.079606e-03
0.00100712    	3.079417e-03
0.00100722    	3.079224e-03
0.00100731    	3.079030e-03
0.00100741    	3.078835e-03
0.0010075     	3.078638e-03
0.00100759    	3.078439e-03
0.00100769    	3.078234e-03
0.00100778    	3.078026e-03
0.00100788    	3.077814e-03
0.00100797    	3.077599e-03
0.00100807    	3.077383e-03
0.00100816    	3.077164e-03
0.00100826    	3.076943e-03
0.00100835    	3.076722e-03
0.00100845    	3.076501e-03
0.00100854    	3.076279e-03
0.00100864    	3.076057e-03
0.00100873    	3.075832e-03
0.00100883    	3.075606e-03
0.00100892    	3.075379e-03
0.00100902    	3.075152e-03
0.00100911    	3.074924e-03
0.00100921    	3.074693e-03
0.0010093     	3.074453e-03
0.0010094     	3.074209e-03
0.00100949    	3.073961e-03
0.00100959    	3.073710e-03
0.00100968    	3.073454e-03
0.00100978    	3.073192e-03
0.00100987    	3.072924e-03
0.00100997    	3.072652e-03
0.00101006    	3.072377e-03
0.00101016    	3.072098e-03
0.00101026    	3.071815e-03
0.00101035    	3.071532e-03
0.00101045    	3.071245e-03
0.00101054    	3.070954e-03
0.00101064    	3.070657e-03
0.00101073    	3.070356e-03
0.00101083    	3.070050e-03
0.00101092    	3.069738e-03
0.00101102    	3.069421e-03
0.00101111    	3.069099e-03
0.00101121    	3.068774e-03
0.00101131    	3.068448e-03
0.0010114     	3.068119e-03
0.0010115     	3.067789e-03
0.00101159    	3.067460e-03
0.00101169    	3.067133e-03
0.00101178    	3.066812e-03
0.00101188    	3.066493e-03
0.00101198    	3.066178e-03
0.00101207    	3.065868e-03
0.00101217    	3.065566e-03
0.00101226    	3.065275e-03
0.00101236    	3.064994e-03
0.00101245    	3.064724e-03
0.00101255    	3.064464e-03
0.00101265    	3.064217e-03
0.00101274    	3.063984e-03
0.00101284    	3.063766e-03
0.00101293    	3.063559e-03
0.00101303    	3.063363e-03
0.00101313    	3.063179e-03
0.00101322    	3.063009e-03
0.00101332    	3.062853e-03
0.00101341    	3.062713e-03
0.00101351    	3.062591e-03
0.00101361    	3.062486e-03
0.0010137     	3.062394e-03
0.0010138     	3.062319e-03
0.0010139     	3.062262e-03
0.00101399    	3.062224e-03
0.00101409    	3.062205e-03
0.00101419    	3.062204e-03
0.00101428    	3.062221e-03
0.00101438    	3.062257e-03
0.00101447    	3.062312e-03
0.00101457    	3.062390e-03
0.00101467    	3.062490e-03
0.00101476    	3.062613e-03
0.00101486    	3.062754e-03
0.00101495    	3.062913e-03
0.00101505    	3.063093e-03
0.00101514    	3.063299e-03
0.00101524    	3.063532e-03
0.00101534    	3.063788e-03
0.00101543    	3.064065e-03
0.00101553    	3.064360e-03
0.00101562    	3.064672e-03
0.00101572    	3.065002e-03
0.00101581    	3.065351e-03
0.00101591    	3.065717e-03
0.001016      	3.066099e-03
0.0010161     	3.066496e-03
0.0010162     	3.066913e-03
0.00101629    	3.067353e-03
0.00101639    	3.067812e-03
0.00101648    	3.068288e-03
0.00101658    	3.068778e-03
0.00101667    	3.069279e-03
0.00101677    	3.069789e-03
0.00101686    	3.070307e-03
0.00101696    	3.070829e-03
0.00101705    	3.071352e-03
0.00101715    	3.071875e-03
0.00101724    	3.072396e-03
0.00101734    	3.072916e-03
0.00101743    	3.073435e-03
0.00101753    	3.073953e-03
0.00101762    	3.074468e-03
0.00101771    	3.074976e-03
0.00101781    	3.075476e-03
0.0010179     	3.075967e-03
0.001018      	3.076447e-03
0.00101809    	3.076917e-03
0.00101819    	3.077376e-03
0.00101828    	3.077827e-03
0.00101838    	3.078275e-03
0.00101847    	3.078718e-03
0.00101857    	3.079153e-03
0.00101866    	3.079580e-03
0.00101875    	3.080000e-03
0.00101885    	3.080414e-03
0.00101894    	3.080820e-03
0.00101904    	3.081219e-03
0.00101913    	3.081608e-03
0.00101923    	3.081985e-03
0.00101932    	3.082352e-03
0.00101941    	3.082707e-03
0.00101951    	3.083051e-03
0.0010196     	3.083384e-03
0.0010197     	3.083706e-03
0.00101979    	3.084018e-03
0.00101988    	3.084318e-03
0.00101998    	3.084609e-03
0.00102007    	3.084887e-03
0.00102016    	3.085154e-03
0.00102026    	3.085411e-03
0.00102035    	3.085660e-03
0.00102045    	3.085902e-03
0.00102054    	3.086136e-03
0.00102063    	3.086361e-03
0.00102073    	3.086575e-03
0.00102082    	3.086775e-03
0.00102091    	3.086965e-03
0.00102101    	3.087144e-03
0.0010211     	3.087315e-03
0.0010212     	3.087479e-03
0.00102129    	3.087632e-03
0.00102138    	3.087777e-03
0.00102148    	3.087913e-03
0.00102157    	3.088040e-03
0.00102166    	3.088157e-03
0.00102176    	3.088262e-03
0.00102185    	3.088357e-03
0.00102194    	3.088441e-03
0.00102204    	3.088517e-03
0.00102213    	3.088585e-03
0.00102222    	3.088643e-03
0.00102232    	3.088694e-03
0.00102241    	3.088735e-03
0.0010225     	3.088769e-03
0.0010226     	3.088799e-03
0.00102269    	3.088826e-03
0.00102278    	3.088850e-03
0.00102288    	3.088870e-03
0.00102297    	3.088888e-03
0.00102306    	3.088902e-03
0.00102316    	3.088916e-03
0.00102325    	3.088930e-03
0.00102334    	3.088944e-03
0.00102344    	3.088961e-03
0.00102353    	3.088980e-03
0.00102362    	3.089000e-03
0.00102372    	3.089022e-03
0.00102381    	3.089047e-03
0.00102391    	3.089076e-03
0.001024      	3.089109e-03
0.00102409    	3.089145e-03
0.00102419    	3.089182e-03
0.00102428    	3.089218e-03
0.00102437    	3.089256e-03
0.00102447    	3.089295e-03
0.00102456    	3.089339e-03
0.00102465    	3.089387e-03
0.00102475    	3.089439e-03
0.00102484    	3.089495e-03
0.00102493    	3.089552e-03
0.00102503    	3.089610e-03
0.00102512    	3.089668e-03
0.00102521    	3.089727e-03
0.00102531    	3.089786e-03
0.0010254     	3.089842e-03
0.00102549    	3.089896e-03
0.00102559    	3.089948e-03
0.00102568    	3.089999e-03
0.00102578    	3.090048e-03
0.00102587    	3.090092e-03
0.00102596    	3.090132e-03
0.00102606    	3.090168e-03
0.00102615    	3.090200e-03
0.00102624    	3.090229e-03
0.00102634    	3.090253e-03
0.00102643    	3.090273e-03
0.00102653    	3.090286e-03
0.00102662    	3.090290e-03
0.00102671    	3.090289e-03
0.00102681    	3.090280e-03
0.0010269     	3.090266e-03
0.001027      	3.090247e-03
0.00102709    	3.090225e-03
0.00102718    	3.090202e-03
0.00102728    	3.090180e-03
0.00102737    	3.090158e-03
0.00102747    	3.090139e-03
0.00102756    	3.090123e-03
0.00102766    	3.090109e-03
0.00102775    	3.090099e-03
0.00102785    	3.090091e-03
0.00102794    	3.090087e-03
0.00102803    	3.090090e-03
0.00102813    	3.090102e-03
0.00102822    	3.090123e-03
0.00102832    	3.090154e-03
0.00102841    	3.090192e-03
0.00102851    	3.090235e-03
0.0010286     	3.090285e-03
0.00102869    	3.090343e-03
0.00102879    	3.090409e-03
0.00102888    	3.090480e-03
0.00102898    	3.090554e-03
0.00102907    	3.090633e-03
0.00102917    	3.090717e-03
0.00102926    	3.090805e-03
0.00102936    	3.090897e-03
0.00102945    	3.090994e-03
0.00102954    	3.091096e-03
0.00102964    	3.091203e-03
0.00102973    	3.091314e-03
0.00102983    	3.091426e-03
0.00102992    	3.091536e-03
0.00103002    	3.091644e-03
0.00103011    	3.091750e-03
0.00103021    	3.091855e-03
0.0010303     	3.091959e-03
0.00103039    	3.092063e-03
0.00103049    	3.092170e-03
0.00103058    	3.092276e-03
0.00103068    	3.092381e-03
0.00103077    	3.092484e-03
0.00103087    	3.092591e-03
0.00103096    	3.092704e-03
0.00103106    	3.092818e-03
0.00103115    	3.092934e-03
0.00103124    	3.093053e-03
0.00103134    	3.093172e-03
0.00103143    	3.093291e-03
0.00103153    	3.093411e-03
0.00103162    	3.093531e-03
0.00103172    	3.093647e-03
0.00103181    	3.093764e-03
0.00103191    	3.093882e-03
0.001032      	3.094003e-03
0.00103209    	3.094124e-03
0.00103219    	3.094247e-03
0.00103228    	3.094374e-03
0.00103238    	3.094508e-03
0.00103247    	3.094647e-03
0.00103257    	3.094788e-03
0.00103266    	3.094933e-03
0.00103276    	3.095081e-03
0.00103285    	3.095233e-03
0.00103295    	3.095389e-03
0.00103304    	3.095550e-03
0.00103314    	3.095718e-03
0.00103323    	3.095887e-03
0.00103333    	3.096064e-03
0.00103342    	3.096252e-03
0.00103352    	3.096452e-03
0.00103361    	3.096658e-03
0.00103371    	3.096868e-03
0.0010338     	3.097082e-03
0.0010339     	3.097300e-03
0.00103399    	3.097524e-03
0.00103409    	3.097751e-03
0.00103418    	3.097983e-03
0.00103428    	3.098218e-03
0.00103437    	3.098454e-03
0.00103447    	3.098694e-03
0.00103456    	3.098938e-03
0.00103466    	3.099186e-03
0.00103475    	3.099438e-03
0.00103485    	3.099692e-03
0.00103494    	3.099946e-03
0.00103504    	3.100201e-03
0.00103513    	3.100458e-03
0.00103523    	3.100716e-03
0.00103532    	3.100978e-03
0.00103542    	3.101245e-03
0.00103551    	3.101517e-03
0.00103561    	3.101792e-03
0.0010357     	3.102074e-03
0.0010358     	3.102363e-03
0.00103589    	3.102657e-03
0.00103599    	3.102952e-03
0.00103609    	3.103250e-03
0.00103618    	3.103554e-03
0.00103628    	3.103862e-03
0.00103637    	3.104180e-03
0.00103647    	3.104504e-03
