# Region type : patch inlet
# Faces  :    1008
# Area   :    1.407929e-05
# Time        	areaAverage(TMean)	areaAverage(UMean)
0.001         
0.0010001     	5.787000e+02	(1.820648e-02 1.572934e-02 9.999769e+01)
0.00100019    	5.787000e+02	(1.816434e-02 1.570358e-02 9.999769e+01)
0.00100029    	5.787000e+02	(1.812253e-02 1.567632e-02 9.999769e+01)
0.00100038    	5.787000e+02	(1.808103e-02 1.564758e-02 9.999769e+01)
0.00100048    	5.787000e+02	(1.803985e-02 1.561737e-02 9.999769e+01)
0.00100057    	5.787000e+02	(1.799901e-02 1.558573e-02 9.999769e+01)
0.00100067    	5.787000e+02	(1.795851e-02 1.555266e-02 9.999769e+01)
0.00100076    	5.787000e+02	(1.791833e-02 1.551818e-02 9.999769e+01)
0.00100086    	5.787000e+02	(1.787847e-02 1.548231e-02 9.999769e+01)
0.00100095    	5.787000e+02	(1.783894e-02 1.544507e-02 9.999769e+01)
0.00100105    	5.787000e+02	(1.779973e-02 1.540646e-02 9.999769e+01)
0.00100115    	5.787000e+02	(1.776086e-02 1.536654e-02 9.999769e+01)
0.00100124    	5.787000e+02	(1.772233e-02 1.532532e-02 9.999769e+01)
0.00100134    	5.787000e+02	(1.768415e-02 1.528283e-02 9.999769e+01)
0.00100143    	5.787000e+02	(1.764630e-02 1.523908e-02 9.999769e+01)
0.00100153    	5.787000e+02	(1.760880e-02 1.519411e-02 9.999769e+01)
0.00100162    	5.787000e+02	(1.757162e-02 1.514791e-02 9.999769e+01)
0.00100172    	5.787000e+02	(1.753479e-02 1.510053e-02 9.999769e+01)
0.00100181    	5.787000e+02	(1.749832e-02 1.505202e-02 9.999769e+01)
0.00100191    	5.787000e+02	(1.746221e-02 1.500239e-02 9.999769e+01)
0.001002      	5.787000e+02	(1.742648e-02 1.495168e-02 9.999769e+01)
0.0010021     	5.787000e+02	(1.739110e-02 1.489989e-02 9.999769e+01)
0.00100219    	5.787000e+02	(1.735608e-02 1.484704e-02 9.999769e+01)
0.00100229    	5.787000e+02	(1.732142e-02 1.479316e-02 9.999769e+01)
0.00100238    	5.787000e+02	(1.728715e-02 1.473830e-02 9.999769e+01)
0.00100248    	5.787000e+02	(1.725329e-02 1.468250e-02 9.999769e+01)
0.00100257    	5.787000e+02	(1.721982e-02 1.462577e-02 9.999769e+01)
0.00100267    	5.787000e+02	(1.718676e-02 1.456815e-02 9.999769e+01)
